Study_Period,Serotype,Vaccine_Status,Cases,Total_Cases
Late (Jun 2014-Dec 2019),19F,1-2 PCV13 doses,4,353
Late (Jun 2014-Dec 2019),19F,3+ PCV13 doses,23,708
Late (Jun 2014-Dec 2019),14,No PCV doses,0,100
Late (Jun 2014-Dec 2019),14,1-2 PCV13 doses,0,353
Late (Jun 2014-Dec 2019),14,3+ PCV13 doses,0,708
Late (Jun 2014-Dec 2019),9V,No PCV doses,0,100
Late (Jun 2014-Dec 2019),9V,1-2 PCV13 doses,0,353
Late (Jun 2014-Dec 2019),9V,3+ PCV13 doses,0,708
Late (Jun 2014-Dec 2019),18C,No PCV doses,2,100
Late (Jun 2014-Dec 2019),18C,1-2 PCV13 doses,0,353
Late (Jun 2014-Dec 2019),18C,3+ PCV13 doses,2,708
Late (Jun 2014-Dec 2019),23F,No PCV doses,0,100
Late (Jun 2014-Dec 2019),23F,1-2 PCV13 doses,0,353
Late (Jun 2014-Dec 2019),23F,3+ PCV13 doses,2,708
Late (Jun 2014-Dec 2019),6B,No PCV doses,0,100
Late (Jun 2014-Dec 2019),6B,1-2 PCV13 doses,0,353
Late (Jun 2014-Dec 2019),6B,3+ PCV13 doses,2,708
Late (Jun 2014-Dec 2019),6C,No PCV doses,0,100
Late (Jun 2014-Dec 2019),6C,1-2 PCV13 doses,0,353
Late (Jun 2014-Dec 2019),6C,3+ PCV13 doses,2,708
Late (Jun 2014-Dec 2019),22F,No PCV doses,4,100
Late (Jun 2014-Dec 2019),22F,1-2 PCV13 doses,11,353
Late (Jun 2014-Dec 2019),22F,3+ PCV13 doses,48,708
Late (Jun 2014-Dec 2019),33F,No PCV doses,3,100
Late (Jun 2014-Dec 2019),33F,1-2 PCV13 doses,12,353
Late (Jun 2014-Dec 2019),33F,3+ PCV13 doses,43,708
Late (Jun 2014-Dec 2019),15C,No PCV doses,3,100
Late (Jun 2014-Dec 2019),15C,1-2 PCV13 doses,4,353
Late (Jun 2014-Dec 2019),15C,3+ PCV13 doses,41,708
Late (Jun 2014-Dec 2019),35B,No PCV doses,2,100
Late (Jun 2014-Dec 2019),35B,1-2 PCV13 doses,16,353
Late (Jun 2014-Dec 2019),35B,3+ PCV13 doses,24,708
Late (Jun 2014-Dec 2019),15B,No PCV doses,1,100
Late (Jun 2014-Dec 2019),15B,1-2 PCV13 doses,5,353
Late (Jun 2014-Dec 2019),15B,3+ PCV13 doses,24,708
Late (Jun 2014-Dec 2019),38,No PCV doses,0,100
Late (Jun 2014-Dec 2019),38,1-2 PCV13 doses,1,353
Late (Jun 2014-Dec 2019),38,3+ PCV13 doses,17,708
Late (Jun 2014-Dec 2019),23B,No PCV doses,6,100
Late (Jun 2014-Dec 2019),23B,1-2 PCV13 doses,9,353
Late (Jun 2014-Dec 2019),23B,3+ PCV13 doses,43,708
