"study_id","assay","dose_description","schedule","vaccine","serotype","value","lower_limit","upper_limit","phase","sponsor","location","n_reads"
"NCT00689351","GMC","1m post primary child","3+1 child","PCV13 (Pfizer)","5",5.06,4.37,5.85,"Phase 2","Pfizer",",,,,,",1
"NCT00689351","GMC","1m post primary child","3+1 child","PCV7","5",0.39,0.3,0.49,"Phase 2","Pfizer",",,,,,",1
"NCT00205803","GMC","1m post primary child","3+1 child","PCV13 (Pfizer)","6A",2.36,0,0,"Phase 1, Phase 2","Pfizer","North America",1
"NCT00205803","GMC","1m post primary child","3+1 child","PCV7","6A",0.25,0,0,"Phase 1, Phase 2","Pfizer","North America",1
"NCT00366340","GMC","1m post primary child","3+1 child","PCV13 (Pfizer)","6A",1.33,1.18,1.49,"Phase 3","Pfizer","Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe",1
"NCT00366340","GMC","1m post primary child","3+1 child","PCV7","6A",0.23,0.2,0.26,"Phase 3","Pfizer","Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe",1
"NCT00688870","GMC","1m post primary child","3+1 child","PCV13 (Pfizer)","6A",4.57,3.92,5.34,"Phase 3","Pfizer","Asia,Asia",1
"NCT00688870","GMC","1m post primary child","3+1 child","PCV7","6A",0.79,0.63,0.99,"Phase 3","Pfizer","Asia,Asia",1
"NCT00689351","GMC","1m post primary child","3+1 child","PCV13 (Pfizer)","6A",5.73,4.64,7.07,"Phase 2","Pfizer",",,,,,",1
"NCT00689351","GMC","1m post primary child","3+1 child","PCV7","6A",0.64,0.49,0.82,"Phase 2","Pfizer",",,,,,",1
"NCT00205803","GMC","1m post primary child","3+1 child","PCV13 (Pfizer)","6B",2.74,0,0,"Phase 1, Phase 2","Pfizer","North America",1
"NCT00205803","GMC","1m post primary child","3+1 child","PCV7","6B",2.86,0,0,"Phase 1, Phase 2","Pfizer","North America",1
"NCT00366340","GMC","1m post primary child","3+1 child","PCV13 (Pfizer)","6B",0.98,0.84,1.14,"Phase 3","Pfizer","Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe",1
"NCT00366340","GMC","1m post primary child","3+1 child","PCV7","6B",1.49,1.27,1.75,"Phase 3","Pfizer","Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe",1
"NCT00452790","GMC","1m post primary child","3+1 child","PCV13 (Pfizer)","6B",1.45,1.2,1.75,"Phase 3","Pfizer","Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia",1
"NCT00452790","GMC","1m post primary child","3+1 child","PCV7","6B",1.56,1.28,1.89,"Phase 3","Pfizer","Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia",1
"NCT00688870","GMC","1m post primary child","3+1 child","PCV13 (Pfizer)","6B",4.37,3.58,5.33,"Phase 3","Pfizer","Asia,Asia",1
"NCT00688870","GMC","1m post primary child","3+1 child","PCV7","6B",4.82,4.09,5.67,"Phase 3","Pfizer","Asia,Asia",1
"NCT00689351","GMC","1m post primary child","3+1 child","PCV13 (Pfizer)","6B",5.71,4.64,7.03,"Phase 2","Pfizer",",,,,,",1
"NCT00689351","GMC","1m post primary child","3+1 child","PCV7","6B",4.88,3.96,6.01,"Phase 2","Pfizer",",,,,,",1
"NCT00205803","GMC","1m post primary child","3+1 child","PCV13 (Pfizer)","7F",1.85,0,0,"Phase 1, Phase 2","Pfizer","North America",1
"NCT00205803","GMC","1m post primary child","3+1 child","PCV7","7F",0.07,0,0,"Phase 1, Phase 2","Pfizer","North America",1
